sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalNotes,oCancelled,oNumDays
17-501476,3860,TSG,491700.0,2.0,22.0,5.56626506024096,0.08433734939759,0.0,83.0
2301-200728,3860,Reverse Mortgage,103000.0,0.0,52.0,10.88888888888890,0.24444444444444,1.0,45.0
17-501477,3860,Uninsured (Info Products),103000.0,1.0,44.0,18.93548387096770,0.51612903225807,0.0,31.0
17-501480,3863,Refinance,250000.0,1.0,36.0,38.06666666666670,0.73333333333333,0.0,15.0
2301-200729,3863,Reverse Mortgage,170000.0,0.0,43.0,10.22222222222220,0.40000000000000,1.0,45.0
17-501481,3863,Refinance,179500.0,2.0,63.0,19.58000000000000,0.40000000000000,0.0,50.0
2301-200730,3863,Reverse Mortgage,106400.0,2.0,78.0,31.65853658536590,1.09756097560976,0.0,41.0
17-501483,3860,Uninsured (Info Products),37100.0,1.0,40.0,11.55102040816330,0.26530612244898,0.0,49.0
17-501484,3863,Refinance,128000.0,2.0,66.0,24.75609756097560,0.63414634146342,0.0,41.0
17-501485,3863,Refinance,400000.0,0.0,32.0,8.82222222222222,0.08888888888889,1.0,45.0
17-501486,3860,Uninsured (Info Products),100000.0,1.0,48.0,8.13924050632911,0.17721518987342,0.0,79.0
17-501487,3863,Refinance,332500.0,2.0,37.0,9.73333333333333,0.08888888888889,1.0,45.0
17-501488,3860,Uninsured (Info Products),80000.0,1.0,43.0,16.65789473684210,0.39473684210526,0.0,38.0
17-501489,3860,Uninsured (Info Products),20000.0,1.0,30.0,1.81460674157303,0.02247191011236,0.0,178.0
17-501490,3860,Uninsured (Info Products),15000.0,1.0,44.0,21.39285714285710,0.57142857142857,0.0,28.0
17-501491,3860,Refinance,140000.0,2.0,49.0,14.55555555555560,0.51111111111111,1.0,45.0
17-501492,3863,Refinance,440058.0,2.0,69.0,15.03389830508470,0.57627118644068,0.0,59.0
2301-200733,3860,Reverse Mortgage,150000.0,1.0,51.0,9.68888888888889,0.15555555555556,1.0,45.0
17-501493,3863,Refinance,65000.0,0.0,26.0,5.91111111111111,0.08888888888889,1.0,45.0
17-501494,3860,Uninsured (Info Products),55000.0,1.0,40.0,10.53061224489800,0.26530612244898,0.0,49.0
17-501495,3860,Uninsured (Info Products),25000.0,1.0,27.0,1.78651685393258,0.02808988764045,0.0,178.0
17-501496,3863,Refinance,77000.0,1.0,69.0,46.03703703703700,0.66666666666667,0.0,27.0
17-501497,3860,Uninsured (Info Products),10000.0,1.0,27.0,1.71910112359551,0.02808988764045,0.0,178.0
17-501499,3863,Refinance,14125.0,3.0,57.0,9.97590361445783,0.25301204819277,0.0,83.0
17-501500,3860,Uninsured (Info Products),20000.0,1.0,30.0,2.52247191011236,0.10112359550562,0.0,178.0
17-501501,3860,Uninsured (Info Products),95000.0,2.0,48.0,9.81159420289855,0.24637681159420,0.0,69.0
2301-200735,29189,Reverse Mortgage,240000.0,0.0,51.0,11.04444444444440,0.26666666666667,1.0,45.0
17-501504,3863,Uninsured (Info Products),10000.0,1.0,26.0,1.75280898876405,0.03370786516854,0.0,178.0
2301-200736,3860,Reverse Mortgage,45000.0,0.0,85.0,20.19718309859150,0.63380281690141,0.0,71.0
17-501505,3863,Refinance,100000.0,2.0,47.0,8.63855421686747,0.26506024096386,0.0,83.0
